avdet_avasy_0001|Bilesiñmi, – dedi yavaştan babam, – evelleri bizde bir adet bar edi – Vatan avasına oynamaq adeti.|Bilesiñmi, – dedi yavaştan babam, – evelleri bizde bir adet bar edi – Vatan avasına oynamaq adeti.
avdet_avasy_0002|Babamnıñ közlerine baqtım. Subetimiz ağır edi. Em menim, em onıñ içün.|Babamnıñ közlerine baqtım. Subetimiz ağır edi. Em menim, em onıñ içün.
avdet_avasy_0003|Bu sefer içindeki accısını babam ne tutıp, ne de toqtatıp ola edi. Ailemizniñ can arqadaşları bar.|Bu sefer içindeki accısını babam ne tutıp, ne de toqtatıp ola edi. Ailemizniñ can arqadaşları bar.
avdet_avasy_0004|Babama ne qadar ağır olsa da, olarğa daima yardım etmege tırışa. Cebinde yüz kümüşi barmı, onı çıqarıp bere. – Bilesiñmi, tünevin Cemilnen Anife ketti.|Babama ne qadar ağır olsa da, olarğa daima yardım etmege tırışa. Cebinde yüz kümüşi barmı, onı çıqarıp bere. – Bilesiñmi, tünevin Cemilnen Anife ketti.
avdet_avasy_0005|Maña baqqanlarından añladım, menden yardım bekley ediler. Amma bu sefer olarğa yardım etmedim.|Maña baqqanlarından añladım, menden yardım bekley ediler. Amma bu sefer olarğa yardım etmedim.
avdet_avasy_0006|İmkânım da bar edi. Param da. Yapmadım. Babam onı raatsız etken şey aqqında aytacağını añladım.|İmkânım da bar edi. Param da. Yapmadım. Babam onı raatsız etken şey aqqında aytacağını añladım.
avdet_avasy_0007|Teren nefes alıp, ikâyeniñ devamını diñlemege azır oldım. - Men sert degilim, bilesiñ, yapqanlarımnıñ er şeyine de cevabım bar.|Teren nefes alıp, ikâyeniñ devamını diñlemege azır oldım. - Men sert degilim, bilesiñ, yapqanlarımnıñ er şeyine de cevabım bar.
avdet_avasy_0008|Yardım etmedim, çünki olar Qırımdan keteler! Olar QIRIMNI terk eteler!|Yardım etmedim, çünki olar Qırımdan keteler! Olar QIRIMNI terk eteler!
avdet_avasy_0009|Subetni ağır sükünet bastı. – Canım yandı, añlaysıñmı?|Subetni ağır sükünet bastı. – Canım yandı, añlaysıñmı?
avdet_avasy_0010|Men Qırımda yaşamaq içün can berdim. Ne qadar çekiştim, ne qadar qıynaldım.|Men Qırımda yaşamaq içün can berdim. Ne qadar çekiştim, ne qadar qıynaldım.
avdet_avasy_0011|Özümnen Rabbim bile. Amma men mında qaldım…Qaldım. Çünki bu Qırım.|Özümnen Rabbim bile. Amma men mında qaldım…Qaldım. Çünki bu Qırım.
avdet_avasy_0012|Bir şey cevap berip olamadım. Boğazıma tomar keldi. Közüm ögünde ketken bütün tanış-bilişlerim.|Bir şey cevap berip olamadım. Boğazıma tomar keldi. Közüm ögünde ketken bütün tanış-bilişlerim.
avdet_avasy_0013|Halqnıñ alı ne olacaq… Babam aqlı edi. – Sekseninci yılları köyümizde Abdurefi ağa yaşay edi.|Halqnıñ alı ne olacaq… Babam aqlı edi. – Sekseninci yılları köyümizde Abdurefi ağa yaşay edi.
avdet_avasy_0014|Ne aşamaq içün savutı, ne yatmaq içün yatağı bar edi. O kele – onı köyden quvalar, kene qaytıp kele – sürgün eteler, tekrar qayta – kene aydaylar.|Ne aşamaq içün savutı, ne yatmaq içün yatağı bar edi. O kele – onı köyden quvalar, kene qaytıp kele – sürgün eteler, tekrar qayta – kene aydaylar.
avdet_avasy_0015|İnadına şaşa edim. Özüm de öyle edim asılında. Bir kün kene köyge qaytqanını eşittim.|İnadına şaşa edim. Özüm de öyle edim asılında. Bir kün kene köyge qaytqanını eşittim.
avdet_avasy_0016|Demir bir setim bar edi. Aldım onı, arabağa yükledim, keldim evine. Apayı qapıda qarşıladı.|Demir bir setim bar edi. Aldım onı, arabağa yükledim, keldim evine. Apayı qapıda qarşıladı.
avdet_avasy_0017|Abdurefi qayda? – dep sorasam, – Çardaqta, saqlanıp otura, – dedi. Töpege köterildim.|Abdurefi qayda? – dep sorasam, – Çardaqta, saqlanıp otura, – dedi. Töpege köterildim.
avdet_avasy_0018|Baqsam, qutular artında saqlanıp otura, kiçkene teşiçik qaldırıp, merdivenge qorqunen baqa.|Baqsam, qutular artında saqlanıp otura, kiçkene teşiçik qaldırıp, merdivenge qorqunen baqa.
avdet_avasy_0019|Bunı körip, qata-qata külmege başladım. – Vay, Rustem! – dedi o. – Ötüm patladı!|Bunı körip, qata-qata külmege başladım. – Vay, Rustem! – dedi o. – Ötüm patladı!
avdet_avasy_0020|Evime bizimkiler endi kelmey. Kelmeyni bıraq, yaqlaşmaylar bile, sen ise keldiñ, em de boş qolnen degil.|Evime bizimkiler endi kelmey. Kelmeyni bıraq, yaqlaşmaylar bile, sen ise keldiñ, em de boş qolnen degil.
avdet_avasy_0021|Qorqmaysıñmı? – dep qutulardan atlap çıqtı ve meni quçaqlamağa aşıqtı.|Qorqmaysıñmı? – dep qutulardan atlap çıqtı ve meni quçaqlamağa aşıqtı.
avdet_avasy_0022|O vaqıt ne qadar şaqalaşıp küldik. Episi aqlımda. Babam terenden köküs keçirdi.|O vaqıt ne qadar şaqalaşıp küldik. Episi aqlımda. Babam terenden köküs keçirdi.
avdet_avasy_0023|– Evel toylar keçirilgende, meydannıñ ortasına bir yavluq töşey edik.|– Evel toylar keçirilgende, meydannıñ ortasına bir yavluq töşey edik.
avdet_avasy_0024|Şu daqqası "Vatan avası" adeti ilân etile edi. Nasıl adet, bilesiñmi?|Şu daqqası "Vatan avası" adeti ilân etile edi. Nasıl adet, bilesiñmi?
avdet_avasy_0025|Kelin ve kiyevniñ taraflarından birer adam ortağa çıqıp oynamağa başlay, er istegen olarğa çıqıp para yapıştıra.|Kelin ve kiyevniñ taraflarından birer adam ortağa çıqıp oynamağa başlay, er istegen olarğa çıqıp para yapıştıra.
avdet_avasy_0026|Bu para yavluqqa tökülip, toplana. Yavluq bayağı tolğan soñ, milliy areketimizniñ teşebbüs gruppasından biri olarnı alıp saya.|Bu para yavluqqa tökülip, toplana. Yavluq bayağı tolğan soñ, milliy areketimizniñ teşebbüs gruppasından biri olarnı alıp saya.
avdet_avasy_0027|Soñ bu paralar halqımıznıñ ihtiyaclarına tarqatıla edi. Meselâ, apske alınğan adamlarnıñ qorantalarına,|Soñ bu paralar halqımıznıñ ihtiyaclarına tarqatıla edi. Meselâ, apske alınğan adamlarnıñ qorantalarına,
avdet_avasy_0028|Moskvada olacaq mitinginde iştirak etmek içün yol parasına, ya da bir de-bir qoranta Qırımğa qaytacaq degende, toplanılğan para olarğa teslim etile edi.|Moskvada olacaq mitinginde iştirak etmek içün yol parasına, ya da bir de-bir qoranta Qırımğa qaytacaq degende, toplanılğan para olarğa teslim etile edi.
avdet_avasy_0029|Añlaysıñmı? Biz evel Qırımğa qaytmaq, Qırımda yaşamaq içün aqça toplay edik.|Añlaysıñmı? Biz evel Qırımğa qaytmaq, Qırımda yaşamaq içün aqça toplay edik.
avdet_avasy_0030|Bir-birimizge qaytmağa yardım ete edik. Vatanda bir-birimizge destek köstere edik. Ya şimdi?|Bir-birimizge qaytmağa yardım ete edik. Vatanda bir-birimizge destek köstere edik. Ya şimdi?
